t	rollEr	q	u
6.72923803329	75.09	18.9585663387	0.568756990162
6.73930907249	75.17	7.94356951777	0.238307085533
6.74929904938	75.16	-1.00100331734	-0.0300300995203
6.7592921257	75.09	-7.00484993081	-0.210145497924
6.76925992966	75.02	-7.02261002679	-0.210678300804
6.77929806709	74.92	-9.9620074579	-0.298860223737
6.78929805756	74.77	-15.0000143051	-0.450000429154
6.79930496216	74.58	-18.9868903078	-0.569606709235
6.80921697617	74.34	-24.2130408428	-0.726391225285
6.81918311119	74.03	-31.1053381498	-0.933160144494
6.8293390274	73.63	-39.3859098059	-1.18157729418
6.83931207657	73.15	-48.1297136027	-1.44389140808
6.84928894043	72.56	-59.1368197677	-1.77410459303
6.85931515694	71.86	-69.8169643069	-2.09450892921
6.86931395531	71.06	-80.0096141924	-2.40028842577
6.87930202484	70.16	-90.1075024467	-2.7032250734
6.88925504684	69.17	-99.4672773439	-2.98401832032
6.89918613434	68.12	-105.728602295	-3.17185806885
6.90930604935	67.03	-107.708414456	-3.23125243368
6.91929507256	65.91	-112.123075161	-3.36369225482
6.92931413651	64.88	-102.804014944	-3.08412044833
6.93955802917	63.92	-93.7143750873	-2.81143125262
6.94934797287	62.94	-100.102720764	-3.00308162291
6.95931506157	61.88	-106.350011721	-3.19050035163
6.9692709446	60.74	-114.505162125	-3.43515486374
6.97922992706	59.47	-127.523068157	-3.82569204472
6.98944807053	58.03	-140.925795884	-4.22777387652
6.99933815002	56.44	-160.767160696	-4.82301482089
7.00934195518	54.7	-173.933815391	-5.21801446174
7.01933312416	52.82	-188.16617	-5.64498509999
7.02957701683	50.84	-193.285898618	-5.79857695853
7.03956794739	48.94	-190.172475838	-5.70517427515
7.0495531559	47.13	-181.268122538	-5.43804367613
7.05956602097	45.41	-171.779005167	-5.15337015501
7.0695669651	43.75	-165.984328796	-4.97952986388
7.07956814766	42.16	-158.98119958	-4.76943598741
7.08958792686	40.65	-150.701923571	-4.52105770713
7.0995759964	39.18	-147.17558733	-4.41526761989
7.10983896255	37.74	-140.310313618	-4.20930940854
7.11962008476	36.33	-144.155238026	-4.32465714077
7.12955713272	34.93	-140.886911874	-4.22660735622
7.13950300217	33.53	-140.761952249	-4.22285856746
7.14958405495	32.11	-140.858304283	-4.22574912849
7.15957403183	30.67	-144.144477697	-4.32433433092
7.16960906982	29.22	-144.493722975	-4.33481168924
7.17959308624	27.8	-142.227330213	-4.26681990639
7.18957495689	26.38	-142.257904316	-4.26773712948
7.19958496094	24.93	-144.85508634	-4.34565259021
7.20955300331	23.36	-157.503343299	-4.72510029898
7.21949505806	21.61	-176.019952038	-5.28059856115
7.22958302498	19.7	-189.334482889	-5.68003448667
7.23955702782	17.69	-201.523904958	-6.04571714873
7.24961209297	15.72	-195.921157111	-5.87763471333
7.25961303711	13.91	-180.982912723	-5.4294873817
7.26956009865	12.34	-157.835557153	-4.7350667146
7.2795779705	10.89	-144.741320387	-4.3422396116
7.28958010674	9.62	-126.972875667	-3.80918627002
7.2993979454	8.44	-120.189385852	-3.60568157556
7.30921792984	7.19	-127.29144411	-3.8187433233
7.31931614876	5.87	-130.716120411	-3.92148361232
7.3293261528	4.5	-136.863081577	-4.1058924473
7.3393330574	3.16	-133.907542171	-4.01722626513
7.34932804108	1.93	-123.061731788	-3.69185195363
7.35932612419	0.72	-121.02319876	-3.6306959628
7.36932301521	-0.48	-120.037319342	-3.60111958025
7.37955093384	-1.68	-117.325923681	-3.51977771044
7.38949513435	-2.85	-117.656517298	-3.52969551895
7.39957213402	-3.98	-112.136552312	-3.36409656935
7.40960502625	-5.04	-105.652485445	-3.16957456334
7.41960406303	-6.04	-100.009633038	-3.00028899115
7.42961096764	-6.98	-93.9351415229	-2.81805424569
7.43957901001	-7.92	-94.3013647779	-2.82904094334
7.44958901405	-8.89	-96.9030577587	-2.90709173276
7.45956611633	-9.88	-99.2272076851	-2.97681623055
7.4694750309	-10.85	-97.8916503453	-2.93674951036
